steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
10005	667	84.79223775863647	0.5002	1.0	0.5000249618731545	1.0	0.0	0.3714402341598337	0.002243806961195367	9905
20010	1334	170.9659857749939	0.9394	1.0	0.23860706890897707	1.0	0.0	0.6399298593870869	0.0018855457647976115	19910
30000	2000	258.69165539741516	0.9397	1.0	0.238053727040128	1.0	0.0	0.6840524288994203	0.0013140478175751827	29900
40005	2667	346.47263264656067	0.9562	1.0	0.20466008056007767	1.0	0.0	0.6846025411862031	0.001130519297997549	39905
50010	3334	434.4267909526825	0.979	1.0	0.14339126927958537	1.0	0.0	0.6641577918453172	0.0009222926787529842	49910
60000	4000	522.1030161380768	0.9719	1.0	0.16526681854543945	1.0	0.0	0.7344693309519533	0.0011448756616184326	59900
70005	4667	609.6963999271393	0.9879	1.0	0.10933794162388395	1.0	0.0	0.6948309130933747	0.0007379373593005553	69905
80010	5334	696.902012348175	0.9829	1.0	0.12965057241328598	1.0	0.0	0.7036876635282777	0.0007084645648554865	79910
90000	6000	784.6001033782959	0.9369	1.0	0.24315489390559883	1.0	0.0	0.689467410521028	0.0008015879748403651	89900
100005	6667	872.427638053894	0.9695	1.0	0.17196716916530047	1.0	0.0	0.7391902789837362	0.0006331362463184722	99905
110010	7334	960.092465877533	0.9927	1.0	0.08513186679190318	1.0	0.0	0.7141493505863931	0.0006243415318467652	109910
