steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
100076	788	1515.6069316864014	0.7279	1.0	0.44506336418516185	1.0	0.0	0.08534576579138237	0.00024820684526093243	99976
200025	1575	3061.77663564682	0.3705	0.0	0.4829628094455418	1.0	0.0	0.059117288229663896	0.0003790397344565263	199925
300101	2363	4619.948028564453	0.5002	1.0	0.5000249618731545	1.0	0.0	0.1051985326934065	0.0005373428623124993	300001
400050	3150	6170.7154133319855	0.5012	1.0	0.5000235618010772	1.0	0.0	0.09609740275588219	0.0004998183988446681	399950
500126	3938	7721.545668363571	0.5145	1.0	0.4998146971359959	1.0	0.0	0.08518655611529508	0.00021190871438928933	500026
600075	4725	9276.249286174774	0.4964	0.0	0.5000120410591333	1.0	0.0	0.06799248534048043	0.0002541925303302304	599975
700024	5512	10781.851135969162	0.5029	1.0	0.5000165913838919	1.0	0.0	0.04431634551061079	0.00040898285398892337	699924
800100	6300	12296.736097097397	0.5809	1.0	0.49343645786848317	1.0	0.0	0.09695625246019135	0.00029771148432367755	800000
900049	7087	13805.272105693817	0.484	0.0	0.4997689235013415	1.0	0.0	0.10323351440725496	0.0002611131294348556	899949
1000125	7875	15317.548861026764	0.6055	1.0	0.48876746962531825	1.0	0.0	0.11545738947745937	0.0003988384952889679	1000025
1100074	8662	16832.38488149643	0.4322	0.0	0.49540660347867493	1.0	0.0	0.0373784759347756	0.0005223057722923436	1099974
1200023	9449	18343.087285518646	0.5072	1.0	0.49997315659516317	1.0	0.0	0.07205334114137887	0.0003007650364891325	1199923
1300099	10237	19854.16509270668	0.4928	0.0	0.49997315659516317	1.0	0.0	0.06150146533700734	0.0002504167598630056	1299999
1400048	11024	21364.35016989708	0.9705	1.0	0.16921174090862057	1.0	0.0	0.035846138995139776	0.00041658191656146097	1399948
1500124	11812	22882.55796456337	0.4994	0.0	0.5000246418570253	1.0	0.0	0.08140906876585997	0.00027689299948003345	1500024
1600073	12599	24397.29568004608	0.5046	1.0	0.5000038403692899	1.0	0.0	0.06626249017805369	0.0004116683714729238	1599973
1700022	13386	25913.35005927086	0.933	1.0	0.25003450106969743	1.0	0.0	0.07274753850009745	0.00025895637474191173	1699922
1800098	14174	27425.458731412888	0.4671	0.0	0.49894136353726465	1.0	0.0	0.08582126857204625	0.000355840243955393	1799998
1900047	14961	28930.52970647812	0.8788	1.0	0.32637587551964087	1.0	0.0	0.11813416569691156	0.00036092171669462145	1899947
2000123	15749	30441.53291463852	0.4973	0.0	0.5000177114574814	1.0	0.0	0.08050136926296565	0.00023106951934761196	2000023
2100072	16536	31949.893953084946	0.4992	0.0	0.5000243618427442	1.0	0.0	0.08713539849276533	0.0003711075170210325	2099972
2200021	17323	33459.360389471054	0.5047	1.0	0.5000029102825594	1.0	0.0	0.11768017153087475	0.0002503079733058476	2199921
2300097	18111	34968.52936553955	0.9771	1.0	0.14959220495326045	1.0	0.0	0.09014015585653595	0.00018738974744880718	2299997
2400046	18898	36477.045874118805	0.9665	1.0	0.17994718141390792	1.0	0.0	0.045430274355854464	0.00017892903077077778	2399946
2500122	19686	37986.29375433922	0.5272	1.0	0.4992845766783217	1.0	0.0	0.09870998784508188	0.00037591305749882885	2500022
2600071	20473	39500.637828826904	0.4982	0.0	0.5000217617026459	1.0	0.0	0.10730047308434239	0.00016961848204222684	2599971
2700020	21260	41009.34876656532	0.4925	0.0	0.4999687458978686	1.0	0.0	0.09233627015166025	0.0002493901767241289	2699920
2800096	22048	42526.28886580467	0.9502	1.0	0.21754239234973705	1.0	0.0	0.08792994410741466	0.0003326222811007283	2799996
2900045	22835	44037.156557798386	0.5084	1.0	0.49995443336722634	1.0	0.0	0.09380918922552191	0.00025429992003059174	2899945
3000121	23623	45548.3198196888	0.9808	1.0	0.13723426439607725	1.0	0.0	0.08987849953924995	0.0003070414101909886	3000021
3100070	24410	47047.52232980728	0.52	1.0	0.499624821737521	1.0	0.0	0.05309915875574579	0.0003428599106314552	3099970
3200019	25197	48554.957392692566	0.5166	1.0	0.49974935211713295	1.0	0.0	0.06970548782113883	0.00018741333230098175	3199919
3300095	25985	50074.34850382805	0.4974	0.0	0.5000182414914304	1.0	0.0	0.0725372230981319	0.00045550675152748174	3299995
3400044	26772	51574.08813500404	0.4926	0.0	0.4999702361378149	1.0	0.0	0.08214513827057811	0.0004678387196125363	3399944
3500120	27560	53091.52593135834	0.4985	0.0	0.500022751757585	1.0	0.0	0.07074036161944366	0.00025773740533287557	3500020
3600069	28347	54610.165691137314	0.4868	0.0	0.49985072279082227	1.0	0.0	0.10170086983006349	0.0004517450429506747	3599969
3700018	29134	56132.59994697571	0.9601	1.0	0.19573405728722382	1.0	0.0	0.10904188062241939	0.00035219080285981644	3699918
3800094	29922	57657.24974703789	0.4972	0.0	0.5000171614216572	1.0	0.0	0.07854832946191713	0.00022182783804245156	3799994
3900043	30709	59178.56817150116	0.5019	1.0	0.5000213916816099	1.0	0.0	0.09325062641798745	0.00016532869308458992	3899943
4000119	31497	60706.051788806915	0.5047	1.0	0.5000029102825594	1.0	0.0	0.09496843029177399	0.0002982106038282112	4000019
4100068	32284	62233.17134284973	0.4975	0.0	0.5000187515235679	1.0	0.0	0.11738725822895131	0.00031615543420869746	4099968
4200017	33071	63761.13676691055	0.9798	1.0	0.14069093572060495	1.0	0.0	0.11100612327551003	0.00021110792442797263	4199917
4300093	33859	65284.83504319191	0.5047	1.0	0.5000029102825594	1.0	0.0	0.08275368948139815	0.0003208962475052339	4299993
4400042	34646	66808.9311029911	0.4943	0.0	0.4999925091948129	1.0	0.0	0.09558361077049544	0.0002487954890687477	4399942
4500118	35434	68322.08367085457	0.9793	1.0	0.1423851725206504	1.0	0.0	0.0656141223615733	0.0003303256842606878	4500018
4600067	36221	69822.78873181343	0.6144	1.0	0.4867610642125799	1.0	0.0	0.08508197509849692	0.0001746783582356295	4599967
4700016	37008	71339.88231611252	0.4955	0.0	0.5000047504524807	1.0	0.0	0.08704288144199555	0.0004973359411967639	4699916
4800092	37796	72860.84627723694	0.4971	0.0	0.5000165913838919	1.0	0.0	0.06242180823099079	0.0002766362415192204	4799992
4900041	38583	74379.98718047142	0.4896	0.0	0.4999168247650486	1.0	0.0	0.0938859423661092	0.00018433638099185715	4899941
5000117	39371	75884.13486099243	0.5382	1.0	0.49856355318219575	1.0	0.0	0.08911383828789905	0.00017527549977606316	5000017
5100066	40158	77396.29260587692	0.4987	0.0	0.5000233117877937	1.0	0.0	0.07902782729508188	0.00029423722098024	5099966
5200015	40945	78911.67681193352	0.4943	0.0	0.4999925091948129	1.0	0.0	0.1265646976324732	0.0002274852792736858	5199915
5300091	41733	80424.43880105019	0.4905	0.0	0.49993473921537745	1.0	0.0	0.03774285242069239	0.0002138429541634192	5299991
5400040	42520	81935.42177343369	0.5005	1.0	0.5000247518625929	1.0	0.0	0.14539241710732875	0.00018526062466457942	5399940
5500116	43308	83449.33829188347	0.9629	1.0	0.18901630277907677	1.0	0.0	0.07292334036114402	0.00017698894562021833	5500016
5600065	44095	84970.58690285683	0.4959	0.0	0.5000081907519935	1.0	0.0	0.11222724210854396	0.00036025678979237396	5599965
5700014	44882	86493.86026859283	0.5051	1.0	0.4999989898979696	1.0	0.0	0.10861836204276076	0.0002058146714459437	5699914
5800090	45670	88010.04198479652	0.5034	1.0	0.5000134411634695	1.0	0.0	0.08569834230549644	0.00035968498683463845	5799990
5900039	46457	89518.76059627533	0.5201	1.0	0.4996208083088709	1.0	0.0	0.10327246486146847	0.000274281939327493	5899939
6000115	47245	91029.17595148087	0.4993	0.0	0.5000245118504143	1.0	0.0	0.0816975531658843	0.00023047394784271054	6000015
6100064	48032	92548.64440059662	0.5048	1.0	0.5000019601921772	1.0	0.0	0.10296097662735912	0.00038778143205986474	6099964
6200013	48819	94073.34071564674	0.4975	0.0	0.5000187515235679	1.0	0.0	0.08765434842299562	0.0001430470452471296	6199913
6300089	49607	95598.61844563484	0.5081	1.0	0.49995938428895786	1.0	0.0	0.07030333524599694	0.00029543290289823143	6299989
6400038	50394	97122.04734778404	0.6758	1.0	0.4680985704177729	1.0	0.0	0.09126060873530843	0.0003680179141673015	6399938
6500114	51182	98641.94513082504	0.9326	1.0	0.25072599855745964	1.0	0.0	0.14105467897694404	0.00019605165999683812	6500014
6600063	51969	100159.47773218155	0.4927	0.0	0.49997170637018756	1.0	0.0	0.09987706551033286	0.00015587491340194402	6599963
6700012	52756	101682.34361982346	0.7345	1.0	0.44162116448976096	1.0	0.0	0.06088068361413625	0.0003736454765587042	6699912
6800088	53544	103202.8733534813	0.6037	1.0	0.48915257029244197	1.0	0.0	0.07408186189103194	0.00039402397296076335	6799988
6900037	54331	104719.76361823082	0.9676	1.0	0.17706884349747629	1.0	0.0	0.09203595980384302	0.00026598001871244557	6899937
7000113	55119	106226.2980337143	0.5021	1.0	0.5000205916351904	1.0	0.0	0.07414997190638399	0.00032229541238654115	7000013
7100062	55906	107727.83815956116	0.515	1.0	0.4997999399739858	1.0	0.0	0.08199785676861492	0.00028762340700324315	7099962
7200011	56693	109228.0483994484	0.4995	0.0	0.5000247518625929	1.0	0.0	0.06556216064946196	0.0001779468766188161	7199911
7300087	57481	110730.89157438278	0.9402	1.0	0.23712777770285756	1.0	0.0	0.03728676036362173	0.0001569233983312494	7299987
7400036	58268	112235.494410038	0.4994	0.0	0.5000246418570253	1.0	0.0	0.050810766229335835	0.00014447936923878322	7399936
7500112	59056	113757.53171682358	0.5033	1.0	0.5000141112120148	1.0	0.0	0.09582798005961009	0.00018123898430963195	7500012
7600061	59843	115285.23009181023	0.5	0.5	0.5000250018751562	1.0	0.0	0.09309576235032162	0.00018191693723826813	7599961
7700010	60630	116811.71673345566	0.6627	1.0	0.4728118707334987	1.0	0.0	0.09377723637631948	0.00020878203955787292	7699910
7800086	61418	118338.32830643654	0.495	0.0	0.5	1.0	0.0	0.07579109123624278	0.0003229657336919305	7799986
7900035	62205	119856.09252643585	0.973	1.0	0.1620914166843398	1.0	0.0	0.11072093970659491	0.00026301137614550977	7899935
8000111	62993	121364.0402071476	0.4935	0.0	0.49998274797719516	1.0	0.0	0.03696180368750211	0.0003311798560387806	8000011
8100060	63780	122883.91036176682	0.497	0.0	0.5000160013441171	1.0	0.0	0.06267670555274613	0.00048050971388734773	8099960
8200009	64567	124392.5245885849	0.5044	1.0	0.5000056405322408	1.0	0.0	0.10686244884655773	0.0001834691058475496	8199909
8300085	65355	125894.86287498474	0.5062	1.0	0.49998655847519097	1.0	0.0	0.058478001021549535	0.0003200071351503947	8299985
8400034	66142	127404.83846092224	0.891	1.0	0.31165479760672243	1.0	0.0	0.08684021620043753	0.0001604972159996989	8399934
8500110	66930	128908.4240398407	0.6633	1.0	0.47260495717306483	1.0	0.0	0.08189910264027912	0.00029080758113695276	8500010
8600059	67717	130427.65998101234	0.504	1.0	0.5000090008190753	1.0	0.0	0.08123702112963277	0.00021536738555139173	8599959
8700008	68504	131945.37962937355	0.5003	1.0	0.5000249118706478	1.0	0.0	0.06446886092802297	0.00035812810853476775	8699908
8800084	69292	133468.64415502548	0.9606	1.0	0.194554427198443	1.0	0.0	0.06742437749314524	0.00032288950261954714	8799984
8900033	70079	134987.68744134903	0.5599	1.0	0.4964238447771887	1.0	0.0	0.10689063265275203	0.0003386953485793217	8899933
9000109	70867	136494.5922548771	0.5615	1.0	0.4962281473651245	1.0	0.0	0.07263983645599072	0.00030371754070188664	9000009
9100058	71654	138003.314743042	0.9199	1.0	0.2714615242274927	1.0	0.0	0.07338363002087651	0.00021496613563542602	9099958
9200007	72441	139505.69001746178	0.4947	0.0	0.499996909681419	1.0	0.0	0.11313850479178485	0.00027957657680107616	9199907
9300083	73229	141011.6635761261	0.5036	1.0	0.5000120410591333	1.0	0.0	0.09442422216967429	0.0001751024638479277	9299983
9400032	74016	142531.73176407814	0.4977	0.0	0.5000197115826506	1.0	0.0	0.04584546978681126	0.00036386582314142736	9399932
9500108	74804	144053.57218503952	0.5034	1.0	0.5000134411634695	1.0	0.0	0.10136279727031275	0.00023590532266882754	9500008
9600057	75591	145571.95341467857	0.5438	1.0	0.49810277115979157	1.0	0.0	0.08108652253297013	0.0001940478368106843	9599957
9700006	76378	147092.87427902222	0.9681	1.0	0.17574264863104455	1.0	0.0	0.09944969364465195	0.0002886420567005431	9699906
9800082	77166	148615.2306072712	0.9563	1.0	0.20443700606530338	1.0	0.0	0.08074452986252442	0.00030161247680348004	9799982
9900031	77953	150134.41973876953	0.4983	0.0	0.5000221117222928	1.0	0.0	0.09989476463630663	0.00026111743163716584	9899931
10000000	78741	151655.42991161346	0.5017	1.0	0.5000221117222928	1.0	0.0	0.12190366384460416	0.00019627717846145977	9999900
