steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
100044	1588	562.9235496520996	0.4955	0.0	0.5000047504524807	1.0	0.0	0.28038274977525085	0.0024368507724680873	99944
200025	3175	1145.8756873607635	0.4956	0.0	0.5000056405322408	1.0	0.0	0.2662829635673638	0.002017149541437096	199925
300006	4762	1711.3336567878723	0.4932	0.0	0.49997875742454057	1.0	0.0	0.2605893087315192	0.0022566265412641714	299906
400050	6350	2279.1383163928986	0.4971	0.0	0.5000165913838919	1.0	0.0	0.269393697550084	0.002050145155597904	399950
500031	7937	2847.759845495224	0.4952	0.0	0.5000019601921772	1.0	0.0	0.2739036940887983	0.00209487105549827	499931
600012	9524	3417.760721206665	0.5121	1.0	0.49987856311086776	1.0	0.0	0.2776706183385865	0.002790197131642668	599912
700056	11112	3990.5672817230225	0.5016	1.0	0.5000224417405927	1.0	0.0	0.26918878758167525	0.002322093237048536	699956
800037	12699	4567.963888168335	0.4976	0.0	0.5000192415539549	1.0	0.0	0.2816236063391685	0.002335213452614144	799937
900018	14286	5141.989686965942	0.5002	1.0	0.5000249618731545	1.0	0.0	0.2716932103172211	0.0020299890499208923	899918
1000062	15874	5715.2169880867	0.5045	1.0	0.5000047504524807	1.0	0.0	0.2595820937005391	0.003101907466544916	999962
1100043	17461	6286.670891523361	0.4949	0.0	0.4999989898979696	1.0	0.0	0.26504212989731424	0.001973856543488367	1099943
1200024	19048	6861.109488487244	0.5026	1.0	0.5000182414914304	1.0	0.0	0.27807777211872126	0.002443729199514829	1199924
1300005	20635	7434.885758638382	0.4957	0.0	0.5000065106086771	1.0	0.0	0.27089329100275666	0.002646801053220667	1299905
1400049	22223	8003.7181758880615	0.5067	1.0	0.4999801076150941	1.0	0.0	0.2789611690165953	0.0024761668645153956	1399949
1500030	23810	8571.825080871582	0.5066	1.0	0.4999814377992591	1.0	0.0	0.2748731887064349	0.0022181907603805204	1499930
1600011	25397	9143.591493368149	0.4992	0.0	0.5000243618427442	1.0	0.0	0.29423738943626554	0.0026166284916413125	1599911
1700055	26985	9716.284704208374	0.4992	0.0	0.5000243618427442	1.0	0.0	0.27991362073640946	0.0023154311649490056	1699955
1800036	28572	10288.538352251053	0.5073	1.0	0.49997170637018756	1.0	0.0	0.27559634778527375	0.0025265087736202957	1799936
1900017	30159	10858.091549396515	0.4929	0.0	0.4999745868129158	1.0	0.0	0.25776509304990036	0.0021748046662184084	1899917
2000061	31747	11429.080971956253	0.5017	1.0	0.5000221117222928	1.0	0.0	0.26477839890353577	0.0025911413153864803	1999961
2100042	33334	11999.109366416931	0.4918	0.0	0.49995775399085224	1.0	0.0	0.2684809124927848	0.0023575614086578122	2099942
2200023	34921	12571.089745998383	0.4978	0.0	0.5000201616097112	1.0	0.0	0.2740055076348516	0.0025723644356684954	2199923
2300004	36508	13143.461659908295	0.4936	0.0	0.49998403814905973	1.0	0.0	0.2883121845046379	0.0023949203354763048	2299904
2400048	38096	13715.432361364365	0.5011	1.0	0.5000237918131876	1.0	0.0	0.24440283114624214	0.003087989841904972	2399948
2500029	39683	14285.112290859222	0.5091	1.0	0.4999421808753707	1.0	0.0	0.27991527220221185	0.0023101220598914286	2499929
2600010	41270	14856.772784948349	0.5026	1.0	0.5000182414914304	1.0	0.0	0.274456094977015	0.002997439801068348	2599910
2700054	42858	15427.083824396133	0.5044	1.0	0.5000056405322408	1.0	0.0	0.291814928421854	0.002549045916083379	2699954
2800035	44445	15998.409329652786	0.4878	0.0	0.4998761322715473	1.0	0.0	0.25891838636686154	0.0023107585611600546	2799935
2900016	46032	16571.50919651985	0.4999	0.0	0.5000249918746561	1.0	0.0	0.28002016888622866	0.0024950417414763997	2899916
3000060	47620	17140.87842297554	0.499	0.0	0.5000240018241525	1.0	0.0	0.27502915927674787	0.0025055614998576703	2999960
3100041	49207	17713.165130138397	0.5004	1.0	0.50002484186713	1.0	0.0	0.26805639257807834	0.0028304160133499705	3099941
3200022	50794	18281.898837327957	0.5069	1.0	0.4999773872274364	1.0	0.0	0.2761893422053031	0.0025294556663837536	3199922
3300003	52381	18851.8067176342	0.4941	0.0	0.49999018892264463	1.0	0.0	0.269808589260916	0.0029091142154359373	3299903
3400047	53969	19425.148196935654	0.5014	1.0	0.5000230417733071	1.0	0.0	0.26991170141924625	0.0024268075574008364	3399947
3500028	55556	19997.499629497528	0.4996	0.0	0.50002484186713	1.0	0.0	0.2808708663098759	0.0024358575640772017	3499928
3600009	57143	20569.294589042664	0.4897	0.0	0.49991889531221867	1.0	0.0	0.2824409870416888	0.002303335007669085	3599909
3700053	58731	21140.401131153107	0.4978	0.0	0.5000201616097112	1.0	0.0	0.276532427345035	0.002003475888501366	3699953
3800034	60318	21711.485713481903	0.5033	1.0	0.5000141112120148	1.0	0.0	0.28715007069308357	0.002683885744034202	3799934
3900015	61905	22283.044848442078	0.5045	1.0	0.5000047504524807	1.0	0.0	0.26449340190300863	0.002448164866626961	3899915
4000059	63493	22856.526453733444	0.5052	1.0	0.49999795979181716	1.0	0.0	0.27690677599540614	0.002731485747075035	3999959
4100040	65080	23431.99404668808	0.5006	1.0	0.5000246418570253	1.0	0.0	0.2592875881240688	0.0022378958552181677	4099940
4200021	66667	24008.243376016617	0.4976	0.0	0.5000192415539549	1.0	0.0	0.2645857675687051	0.002351720523172315	4199921
4300002	68254	24580.444926977158	0.4997	0.0	0.5000249118706478	1.0	0.0	0.25844588837616567	0.0026382307487079902	4299902
4400046	69842	25152.461248397827	0.4895	0.0	0.49991473420389143	1.0	0.0	0.26699339943687456	0.0024534384986312427	4399946
