steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
3500028	55556	19967.267941236496	0.5021	1.0	0.5000205916351904	1.0	0.0	0.17722885584369383	0.0003411199249949619	3499928
3600009	57143	20539.25019788742	0.9442	1.0	0.2295465729714044	1.0	0.0	0.16284891294559833	0.00029419577342988125	3599909
3700053	58731	21112.988579034805	0.5063	1.0	0.4999853083150075	1.0	0.0	0.2022679025707634	0.00027415998471039894	3699953
3800034	60318	21689.396751880646	0.6712	1.0	0.4698006292706794	1.0	0.0	0.161534235051088	0.00038925652344234257	3799934
3900015	61905	22258.647737026215	0.9666	1.0	0.17968769787293923	1.0	0.0	0.12051108866377483	0.0003916719824300805	3899915
4000059	63493	22826.59865450859	0.7166	1.0	0.4506714440421619	1.0	0.0	0.19399125868619524	0.0003763234179066856	3999959
4100040	65080	23394.68262887001	0.874	1.0	0.33186595712930567	1.0	0.0	0.14484588147568006	0.00043449031919342256	4099940
4200021	66667	23964.387775421143	0.9368	1.0	0.24333450468052575	1.0	0.0	0.19701766837735052	0.000416616670623089	4199921
4300002	68254	24536.71145939827	0.9057	1.0	0.2922602463647092	1.0	0.0	0.1872168313703161	0.0002760675947662529	4299902
4400046	69842	25115.26282143593	0.9275	1.0	0.2593269655232652	1.0	0.0	0.07701307845453831	0.0005824479843770346	4399946
4500027	71429	25691.498252153397	0.8999	1.0	0.30014829484754696	1.0	0.0	0.1328450639796326	0.00047521701662628406	4499927
4600008	73016	26263.391119480133	0.926	1.0	0.26178398172025064	1.0	0.0	0.14016816737746673	0.0005532129528583577	4599908
4700052	74604	26833.978063106537	0.4962	0.0	0.5000105609445721	1.0	0.0	0.15155033088104292	0.0003337598183862807	4699952
4800033	76191	27401.278049468994	0.8829	1.0	0.321555484781366	1.0	0.0	0.17215508624426065	0.0002549371438299485	4799933
4900014	77778	27968.746123075485	0.503	1.0	0.5000160013441171	1.0	0.0	0.185156285101787	0.00031841970626440516	4899914
5000058	79366	28537.360463142395	0.5413	1.0	0.4983163070923843	1.0	0.0	0.15802662938672676	0.00017359266947252652	4999958
5100039	80953	29114.96522283554	0.5019	1.0	0.5000213916816099	1.0	0.0	0.15380268440003492	0.00024167844312080966	5099939
5200020	82540	29687.55592751503	0.8973	1.0	0.3035818278366135	1.0	0.0	0.1458266353017753	0.00018153734428727594	5199920
5300001	84127	30267.199360370636	0.499	0.0	0.5000240018241525	1.0	0.0	0.1760500809955295	0.00023762022484044202	5299901
5400045	85715	30843.370705366135	0.9462	1.0	0.22563388722686695	1.0	0.0	0.15291545344923438	0.00015356379900805138	5399945
5500026	87302	31414.240645885468	0.5005	1.0	0.5000247518625929	1.0	0.0	0.1902382078129747	0.00011330119896612777	5499926
5600007	88889	31984.57688999176	0.9351	1.0	0.2463616435363683	1.0	0.0	0.19833235888729828	0.000156886991158108	5599907
5700051	90477	32562.659905195236	0.4888	0.0	0.4998995398627563	1.0	0.0	0.13983977731230013	0.00012179714215594203	5699951
5800032	92064	33135.49426484108	0.8799	1.0	0.32509469182972767	1.0	0.0	0.1547741701746213	0.00021345502182271368	5799932
5900013	93651	33707.7500038147	0.9014	1.0	0.2981391096331867	1.0	0.0	0.18527907399786459	0.0001878368744271972	5899913
6000057	95239	34280.579424381256	0.9679	1.0	0.17627449409862725	1.0	0.0	0.21767858370229787	0.00016958834537119947	5999957
6100038	96826	34852.45643925667	0.9494	1.0	0.2191904296369813	1.0	0.0	0.10893697779243407	0.00029876203966353976	6099938
6200019	98413	35423.97256946564	0.9912	1.0	0.09339931661010333	1.0	0.0	0.14073271474796256	0.00013343726607909957	6199919
